timestamp,negotiationId,conversationId,round,sender,receiver,type,aclPerformative,price,strategy,outcome,utility,buyerUtility,dealerUtility,reason
2026-05-29 05:08:13,neg-buyer1_192_168_1_217_1099_JADE-dealer1_192_168_1_217_1099_JADE-3C1DD5FA-091399,negotiation-neg-buyer1_192_168_1_217_1099_JADE-dealer1_192_168_1_217_1099_JADE-3C1DD5FA-091399,1,buyer1,dealer1,ACCEPT,ACCEPT_PROPOSAL,12750.00,,COMPLETED,,,,
2026-05-29 05:09:25,neg-buyer1_192_168_1_217_1099_JADE-dealer1_192_168_1_217_1099_JADE-78D47F88-545444,negotiation-neg-buyer1_192_168_1_217_1099_JADE-dealer1_192_168_1_217_1099_JADE-78D47F88-545444,1,buyer1,dealer1,REJECT,REFUSE,,,FAILED,,,,
2026-05-29 05:48:34,neg-buyerA_192_168_1_217_1099_JADE-Dealer-B_192_168_1_217_1099_JADE-4708753E-890676,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-B_192_168_1_217_1099_JADE-4708753E-890676,1,Dealer-B,buyerA,OFFER,PROPOSE,20000.00,,ONGOING,,,,
2026-05-29 05:48:36,neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-46018AA2-890704,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-46018AA2-890704,1,Dealer-A,buyerA,OFFER,PROPOSE,18000.00,,ONGOING,,,,
2026-05-29 05:48:39,neg-buyerA_192_168_1_217_1099_JADE-Dealer-C_192_168_1_217_1099_JADE-84723AF4-890691,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-C_192_168_1_217_1099_JADE-84723AF4-890691,1,Dealer-C,buyerA,OFFER,PROPOSE,22000.00,,ONGOING,,,,
2026-05-29 05:50:50,neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-46018AA2-890704,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-46018AA2-890704,2,buyerA,Dealer-A,OFFER,PROPOSE,15000.00,,ONGOING,,,,
2026-05-29 05:51:10,neg-buyerA_192_168_1_217_1099_JADE-Dealer-C_192_168_1_217_1099_JADE-84723AF4-890691,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-C_192_168_1_217_1099_JADE-84723AF4-890691,2,buyerA,Dealer-C,OFFER,PROPOSE,15000.00,,ONGOING,,,,
2026-05-29 05:51:16,neg-buyerA_192_168_1_217_1099_JADE-Dealer-B_192_168_1_217_1099_JADE-4708753E-890676,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-B_192_168_1_217_1099_JADE-4708753E-890676,2,buyerA,Dealer-B,OFFER,PROPOSE,15000.00,,ONGOING,,,,
2026-05-29 05:53:55,neg-buyerA_192_168_1_217_1099_JADE-Dealer-B_192_168_1_217_1099_JADE-4708753E-890676,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-B_192_168_1_217_1099_JADE-4708753E-890676,2,buyerA,Dealer-B,REJECT,REFUSE,,,FAILED,,,,
2026-05-29 05:53:59,neg-buyerA_192_168_1_217_1099_JADE-Dealer-C_192_168_1_217_1099_JADE-84723AF4-890691,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-C_192_168_1_217_1099_JADE-84723AF4-890691,2,buyerA,Dealer-C,REJECT,REFUSE,,,FAILED,,,,
2026-05-29 05:54:04,neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-46018AA2-890704,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-46018AA2-890704,2,buyerA,Dealer-A,REJECT,REFUSE,,,FAILED,,,,
2026-05-29 06:08:16,neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-20B59F23-589339,negotiation-neg-buyerA_192_168_1_217_1099_JADE-Dealer-A_192_168_1_217_1099_JADE-20B59F23-589339,1,buyerA,Dealer-A,OFFER,PROPOSE,15300.00,,ONGOING,,,,
