case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder
1,1,"BALANCED","BAYESIAN","Bayesian Learner","BAYESIAN","Bayesian Learner","DEAL","BUYER",2,5,80000,64000,78400,70400,78100,1900,2.38,"exp_001_BALANCED_BAYESIAN_vs_BAYESIAN"
2,1,"BALANCED","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",2,5,80000,64000,78400,70400,73600,6400,8.00,"exp_002_BALANCED_BAYESIAN_vs_TIME_DEPENDENT_CONCEDER"
3,1,"BALANCED","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",7,15,80000,64000,78400,70400,77700,2300,2.88,"exp_003_BALANCED_BAYESIAN_vs_TIME_DEPENDENT_BOULWARE"
4,1,"BALANCED","BAYESIAN","Bayesian Learner","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",8,17,80000,64000,78400,70400,78400,1600,2.00,"exp_004_BALANCED_BAYESIAN_vs_TIT_FOR_TAT"
5,1,"BALANCED","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",2,5,80000,64000,78400,70400,76800,3200,4.00,"exp_005_BALANCED_BAYESIAN_vs_FIXED_INCREMENT_2PCT"
6,1,"BALANCED","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",3,7,80000,64000,78400,70400,70400,9600,12.00,"exp_006_BALANCED_BAYESIAN_vs_FIXED_INCREMENT_5PCT"
7,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","BAYESIAN","Bayesian Learner","DEAL","DEALER",2,4,80000,64000,78400,70400,72100,7900,9.88,"exp_007_BALANCED_TIME_DEPENDENT_CONCEDER_vs_BAYESIAN"
8,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",2,6,80000,64000,78400,70400,73600,6400,8.00,"exp_008_BALANCED_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_CONCEDER"
9,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",7,15,80000,64000,78400,70400,77700,2300,2.88,"exp_009_BALANCED_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_BOULWARE"
10,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",7,15,80000,64000,78400,70400,78400,1600,2.00,"exp_010_BALANCED_TIME_DEPENDENT_CONCEDER_vs_TIT_FOR_TAT"
11,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",1,3,80000,64000,78400,70400,78400,1600,2.00,"exp_011_BALANCED_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_2PCT"
12,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",2,6,80000,64000,78400,70400,72200,7800,9.75,"exp_012_BALANCED_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_5PCT"
13,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","BAYESIAN","Bayesian Learner","DEAL","BUYER",2,5,80000,64000,78400,70400,78100,1900,2.38,"exp_013_BALANCED_TIME_DEPENDENT_BOULWARE_vs_BAYESIAN"
14,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",9,20,80000,64000,78400,70400,70600,9400,11.75,"exp_014_BALANCED_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_CONCEDER"
15,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",7,15,80000,64000,78400,70400,77700,2300,2.88,"exp_015_BALANCED_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_BOULWARE"
16,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",10,20,80000,64000,78400,70400,73400,6600,8.25,"exp_016_BALANCED_TIME_DEPENDENT_BOULWARE_vs_TIT_FOR_TAT"
17,1,"BALANCED","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",1,3,80000,64000,78400,70400,78400,1600,2.00,"exp_017_BALANCED_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_2PCT"
