case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder,scenario_seed,case_seed,buyer_utility,dealer_utility,joint_utility,agreement_surplus,buyer_surplus,dealer_profit,buyer_distance_from_reservation,dealer_distance_from_reservation,buyer_concession_pct,dealer_concession_pct,benefit_side,final_reason
1,1,"BALANCED","BAYESIAN","Bayesian Learner","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,64000,78400,70400,77000,3000,3.75,"exp_001_BALANCED_BAYESIAN_vs_BAYESIAN",5217400151006772112,202993611575309320,0.10,0.69,0.78,8000,1400,6600,1400,6600,90.28,31.25,"DEALER","REJECT: Offer RM 77000 exceeds reservation price RM 70400"
2,1,"BALANCED","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",2,5,80000,64000,78400,70400,73600,6400,8.00,"exp_002_BALANCED_BAYESIAN_vs_TIME_DEPENDENT_CONCEDER",5217400151006772112,202994077648936013,0.33,0.33,0.67,8000,4800,3200,4800,3200,66.67,66.67,"BALANCED","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM1000 (0.0%) | EstimatedFloor≈RM72600 | Offers seen=2 → ACCEPT RM73600"
3,1,"BALANCED","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",7,15,80000,64000,78400,70400,77700,2300,2.88,"exp_003_BALANCED_BAYESIAN_vs_TIME_DEPENDENT_BOULWARE",5217400151006772112,202993225943072415,0.05,0.76,0.81,8000,700,7300,700,7300,95.14,23.96,"DEALER","Round 7/10 | β=1.45 | Style=CONCEDER | AvgConcession=RM383 (1.5%) | EstimatedFloor≈RM76933 | Offers seen=7 → ACCEPT RM77700"
4,1,"BALANCED","BAYESIAN","Bayesian Learner","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",2,5,80000,64000,78400,70400,70400,9600,12.00,"exp_004_BALANCED_BAYESIAN_vs_TIT_FOR_TAT",5217400151006772112,202994061515238481,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM70400 | Offers seen=2 → ACCEPT RM70400"
5,1,"BALANCED","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",2,5,80000,64000,78400,70400,70400,9600,12.00,"exp_005_BALANCED_BAYESIAN_vs_FIXED_INCREMENT_2PCT",5217400151006772112,202993466735901363,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM70400 | Offers seen=2 → ACCEPT RM70400"
6,1,"BALANCED","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",2,5,80000,64000,78400,70400,70400,9600,12.00,"exp_006_BALANCED_BAYESIAN_vs_FIXED_INCREMENT_5PCT",5217400151006772112,202993466781021803,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM70400 | Offers seen=2 → ACCEPT RM70400"
7,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,64000,78400,70400,78000,2000,2.50,"exp_007_BALANCED_TIME_DEPENDENT_CONCEDER_vs_BAYESIAN",5217400151006772112,203012781473556520,0.03,0.79,0.82,8000,400,7600,400,7600,97.22,20.83,"DEALER","REJECT: Offer RM 78000 exceeds reservation price RM 70400"
8,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",2,6,80000,64000,78400,70400,73600,6400,8.00,"exp_008_BALANCED_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_CONCEDER",5217400151006772112,203013515349465749,0.33,0.33,0.67,8000,4800,3200,4800,3200,66.67,66.67,"BALANCED","Round 2/10 | Curve=CONCEDER β=4.00 | Progress=20% → Offer RM73600"
9,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",7,15,80000,64000,78400,70400,77700,2300,2.88,"exp_009_BALANCED_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_BOULWARE",5217400151006772112,203013697096063887,0.05,0.76,0.81,8000,700,7300,700,7300,95.14,23.96,"DEALER","Round 7/10 | CONCEDER | Offer RM77700 vs RV RM78400 | lastRound=false → ACCEPT"
10,1,"BALANCED","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",1,4,80000,64000,78400,70400,70400,9600,12.00,"exp_010_BALANCED_TIME_DEPENDENT_CONCEDER_vs_TIT_FOR_TAT",5217400151006772112,203013512069252681,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 1/10 | Curve=CONCEDER β=4.00 | Progress=10% → Offer RM72100"
