buyer_strategy,dealer_strategy,cases,deals,deal_rate,avg_rounds,avg_final_price,final_price_stddev,best_final_price,worst_final_price,avg_buyer_utility,avg_dealer_utility,avg_joint_utility,avg_buyer_concession_pct,avg_dealer_concession_pct,baseline_deals,baseline_deal_rate,deal_rate_delta_vs_baseline,avg_baseline_price,avg_negotiation_gain_vs_baseline
"BAYESIAN","TIT_FOR_TAT",3,3,100.00,2.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"BAYESIAN","FIXED_INCREMENT_2PCT",3,3,100.00,2.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"BAYESIAN","FIXED_INCREMENT_5PCT",3,3,100.00,2.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"FIXED_INCREMENT_2PCT","TIT_FOR_TAT",3,3,100.00,6.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"FIXED_INCREMENT_2PCT","FIXED_INCREMENT_2PCT",3,3,100.00,6.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"FIXED_INCREMENT_2PCT","FIXED_INCREMENT_5PCT",3,3,100.00,6.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"FIXED_INCREMENT_5PCT","TIT_FOR_TAT",3,3,100.00,2.67,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"FIXED_INCREMENT_5PCT","FIXED_INCREMENT_2PCT",3,3,100.00,2.67,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"FIXED_INCREMENT_5PCT","FIXED_INCREMENT_5PCT",3,3,100.00,2.67,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"TIME_DEPENDENT_BOULWARE","TIT_FOR_TAT",3,3,100.00,9.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
"TIME_DEPENDENT_BOULWARE","FIXED_INCREMENT_2PCT",3,3,100.00,9.00,69600,2117,67200,71200,0.47,0.00,0.47,52.90,100.00,1,33.33,66.67,80000,12800
